AWARD ID,USASPENDING LINK,TOTAL AWARD FUNDING AMOUNT,RECIPIENT TYPE,RECIPIENT NAME,Address,City,STATE,Zip Code
2316077,https://www.usaspending.gov/award/ASST_NON_2316077_4900/,35000,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2318048,https://www.usaspending.gov/award/ASST_NON_2318048_4900/,199948,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2318196,https://www.usaspending.gov/award/ASST_NON_2318196_4900/,699909,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2318300,https://www.usaspending.gov/award/ASST_NON_2318300_4900/,699469,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2318301,https://www.usaspending.gov/award/ASST_NON_2318301_4900/,152838,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2318618,https://www.usaspending.gov/award/ASST_NON_2318618_4900/,425000,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2322496,https://www.usaspending.gov/award/ASST_NON_2322496_4900/,998665,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2324052,https://www.usaspending.gov/award/ASST_NON_2324052_4900/,1800000,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2325822,https://www.usaspending.gov/award/ASST_NON_2325822_4900/,999997,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2327431,https://www.usaspending.gov/award/ASST_NON_2327431_4900/,491069,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2332924,https://www.usaspending.gov/award/ASST_NON_2332924_4900/,50000,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2345273,https://www.usaspending.gov/award/ASST_NON_2345273_4900/,499999,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2348999,https://www.usaspending.gov/award/ASST_NON_2348999_4900/,39206,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
,,0,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,,,2892
,,0,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,,,2892
,,0,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,,,2892
,,0,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,,,2892
