,RECIPIENT.NAME,award_count,total_funding_awarded,Recipient.Type
223,MOREHOUSE COLLEGE,1,365861,Private Institution of Higher Education
224,MORGAN STATE UNIVERSITY,9,4941355,Public Institution of Higher Education
225,MOUNT HOLYOKE COLLEGE,1,499437,Private Institution of Higher Education
226,MOUNTWEST COMMUNITY AND TECHNICAL COLLEGE,1,552031,Public Institution of Higher Education
227,MT SAN ANTONIO COMMUNITY COLLEGE DISTRICT,1,69430,Public Institution of Higher Education
228,NASSAU COMMUNITY COLLEGE,1,1980847,Public Institution of Higher Education
229,NATIONAL CENTER FOR HIGHER EDUCATION MANAGEMENT SYSTEMS,1,94658,Private Institution of Higher Education
230,NATIONAL LOUIS UNIVERSITY,1,645744,Private Institution of Higher Education
231,NATIONAL POSTDOCTORAL ASSOCIATION COMPANY,1,49590,Private Institution of Higher Education
232,NEBRASKA INDIAN COMMUNITY COLLEGE,1,1841829,Public Institution of Higher Education
233,NEVADA SYSTEM OF HIGHER EDUCATION,19,14449625,Public Institution of Higher Education
234,NEW JERSEY CITY UNIVERSITY,1,150000,Public Institution of Higher Education
235,NEW JERSEY INSTITUTE OF TECHNOLOGY,11,5330811,Public Institution of Higher Education
236,NEW MEXICO HIGHLANDS UNIVERSITY,1,277389,Public Institution of Higher Education
237,NEW MEXICO INSTITUTE OF MINING AND TECHNOLOGY,2,850577,Public Institution of Higher Education
238,NEW MEXICO STATE UNIVERSITY,7,3193146,Public Institution of Higher Education
239,NEW YORK INSTITUTE OF TECHNOLOGY,1,135000,Private Institution of Higher Education
,NEVADA STATE UNIVERSITY,1,1000000,Public Institution of Higher Education
,NORTHCENTRAL TECHINCAL COLLEGE,1,342519,Public Institution of Higher Education
240,NEW YORK UNIVERSITY,22,15354675,Private Institution of Higher Education
241,NEXTCORPS INC,1,4558836,Private Institution of Higher Education
242,NORFOLK STATE UNIVERSITY,3,1816035,Public Institution of Higher Education
243,NORTH CAROLINA AGRICULTURAL AND TECHNICAL STATE UNIVERSITY,8,5489284,Public Institution of Higher Education
244,NORTH CAROLINA CENTRAL UNIVERSITY,3,1883699,Public Institution of Higher Education
245,NORTH CAROLINA STATE UNIVERSITY,28,12649552,Public Institution of Higher Education
246,NORTH DAKOTA STATE UNIVERSITY,6,18816128,Public Institution of Higher Education
247,NORTHEASTERN ILLINOIS UNIVERSITY,3,936557,Public Institution of Higher Education
248,NORTHEASTERN STATE UNIVERSITY,1,287614,Public Institution of Higher Education
249,NORTHEASTERN UNIVERSITY,19,13989966,Private Institution of Higher Education
250,NORTHERN ARIZONA UNIVERSITY,8,5341031,Public Institution of Higher Education
251,NORTHERN ILLINOIS UNIVERSITY,3,731804,Public Institution of Higher Education
252,NORTHERN KENTUCKY UNIVERSITY,1,50000,Public Institution of Higher Education
253,NORTHWESTERN UNIVERSITY,23,15321038,Private Institution of Higher Education
254,NOVA SOUTHEASTERN UNIVERSITY,2,982587,Public Institution of Higher Education
255,OAKWOOD UNIVERSITY,1,385588,Private Institution of Higher Education
256,OBERLIN COLLEGE,2,715453,Private Institution of Higher Education
257,OCCIDENTAL COLLEGE,3,722707,Private Institution of Higher Education
258,OHIO STATE UNIVERSITY-MAIN CAMPUS,21,6241068,Public Institution of Higher Education
259,OHIO WESLEYAN UNIVERSITY,1,499750,Private Institution of Higher Education
260,OKLAHOMA STATE UNIVERSITY,5,5327298,Public Institution of Higher Education
261,OLD DOMINION UNIVERSITY,6,2723663,Public Institution of Higher Education
262,OREGON HEALTH & SCIENCE UNIVERSITY,2,1218173,Public Institution of Higher Education
263,OREGON STATE UNIVERSITY,12,7357997,Public Institution of Higher Education
264,OUR LADY OF THE LAKE UNIVERSITY,1,500000,Private Institution of Higher Education
265,PACE UNIVERSITY,1,136540,Private Institution of Higher Education
266,PASSAIC COUNTY COMMUNITY COLLEGE,1,1499363,Public Institution of Higher Education
267,PENNSYLVANIA STATE UNIVERSITY-MAIN CAMPUS,43,18531936,Public Institution of Higher Education
268,PEPPERDINE UNIVERSITY,1,2000000,Private Institution of Higher Education
269,PIEDMONT TECHNICAL COLLEGE,1,335707,Public Institution of Higher Education
270,PIMA COUNTY COMMUNITY COLLEGE DISTRICT,1,266602,Public Institution of Higher Education
271,POMONA COLLEGE,3,2317626,Private Institution of Higher Education
272,PORTLAND COMMUNITY COLLEGE,1,650000,Public Institution of Higher Education
273,PORTLAND STATE UNIVERSITY,6,5086415,Public Institution of Higher Education
274,PRAIRIE VIEW A & M UNIVERSITY,7,3592980,Public Institution of Higher Education
